"species","log.mass","bradley.terry.score","bradley.terry.rank","jetz"
"Abert's Towhee",3.8271184983377,1.956743967,84,"Pipilo_aberti"
"Acorn Woodpecker",4.37726531757217,21.58778581,123,"Melanerpes_formicivorus"
"Allen's Hummingbird",1.21194097397511,-4.988164066,29,"Selasphorus_sasin"
"American Crow",6.10648822367676,20.89775903,122,"Corvus_brachyrhynchos"
"American Goldfinch",2.54866361559075,-4.902640455,31,"Carduelis_tristis"
"American Robin",4.36309862478836,1.139044013,80,"Turdus_migratorius"
"American Tree Sparrow",2.88088243187505,-4.086143107,34,"Spizella_arborea"
"Anna's Hummingbird",1.44456326924387,-5.813313929,22,"Calypte_anna"
"Audubon's Oriole",3.74242022104197,35.60663569,128,"Icterus_graduacauda"
"Baltimore Oriole",3.4913427315135,0.680878348,74,"Icterus_galbula"
"Band-tailed Pigeon",5.90345266978477,3.477397404,95,"Patagioenas_fasciata"
"Bewick's Wren",2.29253475714054,-5.037041914,28,"Thryomanes_bewickii"
"Black Phoebe",2.9247731846135,16.87806913,113,"Sayornis_nigricans"
"Black-billed Magpie",5.17682746896033,4.643820377,103,"Pica_hudsonia"
"Black-capped Chickadee",2.37954613413017,-5.07284796,27,"Parus_atricapillus"
"Black-crested Titmouse",2.86220088092947,-2.198087079,53,"Baeolophus_atricristatus"
"Blue Jay",4.47733681447821,2.34933327,87,"Cyanocitta_cristata"
"Boat-tailed Grackle",5.01866959912458,21.62516089,124,"Quiscalus_major"
"Boreal Chickadee",2.28238238567653,-22.00537507,5,"Parus_hudsonicus"
"Brewer's Blackbird",4.13484650553143,-0.978569663,60,"Euphagus_cyanocephalus"
"Brown Creeper",2.09186406167839,-22.8920555,3,"Certhia_americana"
"Brown Thrasher",4.2312037449393,2.907911932,91,"Toxostoma_rufum"
"Brown-headed Cowbird",3.69535842021165,0.770247297,75,"Molothrus_ater"
"Brown-headed Nuthatch",2.32238772029023,-3.141188027,45,"Sitta_pusilla"
"Bushtit",1.66770682055808,-6.500257725,20,"Psaltriparus_minimus"
"California Quail",5.11017892443252,22.27094096,126,"Callipepla_californica"
"California Scrub-Jay",4.45131946116983,2.782033218,90,"Aphelocoma_californica"
"California Thrasher",4.43556740160191,-0.132259867,67,"Toxostoma_redivivum"
"California Towhee",3.96707921117622,-0.202047765,66,"Pipilo_crissalis"
"Canada Goose",7.94153744844654,51.58170114,134,"Branta_canadensis"
"Canyon Towhee",3.79323946943818,2.173892853,85,"Pipilo_fuscus"
"Carolina Chickadee",2.30158459266046,-5.39629647,25,"Parus_carolinensis"
"Carolina Wren",2.94233149682688,-2.583435163,50,"Thryothorus_ludovicianus"
"Cassin's Finch",3.27714473299218,-2.378442902,52,"Carpodacus_cassinii"
"Cedar Waxwing",3.4525240088275,0.445896832,72,"Bombycilla_cedrorum"
"Chestnut-backed Chickadee",2.23964529322017,-5.744999009,23,"Parus_rufescens"
"Chipping Sparrow",2.50143595173921,-4.959076061,30,"Spizella_passerina"
"Common Grackle",4.6556731681612,4.215315738,99,"Quiscalus_quiscula"
"Common Raven",6.83299940467745,38.19370145,131,"Corvus_corax"
"Common Redpoll",2.56494935746154,-4.258183407,33,"Carduelis_flammea"
"Curve-billed Thrasher",4.38875395542331,4.631522239,102,"Toxostoma_curvirostre"
"Dark-eyed Junco",2.9704144655697,-3.449346888,41,"Junco_hyemalis"
"Downy Woodpecker",3.24063731664971,-0.64585534,63,"Picoides_pubescens"
"Eastern Bluebird",3.31418600467253,-0.842513531,61,"Sialia_sialis"
"Eastern Phoebe",2.98061863574394,-3.148123619,44,"Sayornis_phoebe"
"Eastern Towhee",3.68962917300448,0.132586413,70,"Pipilo_erythrophthalmus"
"Eurasian Collared-Dove",5.00367781352876,3.168614846,93,"Streptopelia_decaocto"
"Eurasian Tree Sparrow",3.06292352309431,-24.46870898,1,"Passer_montanus"
"European Starling",4.34562195278008,3.146546646,92,"Sturnus_vulgaris"
"Evening Grosbeak",4.04830062372069,0.089519496,69,"Coccothraustes_vespertinus"
"Field Sparrow",2.52572864430826,-3.102937173,46,"Spizella_pusilla"
"Fox Sparrow",3.50405476710186,0.811890454,76,"Passerella_iliaca"
"Gambel's Quail",5.11168653816598,4.967480024,104,"Callipepla_gambelii"
"Gila Woodpecker",4.16914277229729,1.10479876,78,"Melanerpes_uropygialis"
"Gilded Flicker",4.70953020131233,13.84227408,106,"Colaptes_chrysoides"
"Golden-crowned Kinglet",1.8229350866965,-3.554232275,39,"Regulus_satrapa"
"Golden-crowned Sparrow",3.46542335396143,-0.434490977,65,"Zonotrichia_atricapilla"
"Golden-fronted Woodpecker",4.3916056094542,17.45750094,116,"Melanerpes_aurifrons"
"Gray Catbird",3.56388296393925,-0.089519496,68,"Dumetella_carolinensis"
"Gray Jay",4.27081570533788,-18.22728992,14,"Perisoreus_canadensis"
"Gray-crowned Rosy-Finch",3.63230910262554,16.77273087,111,"Leucosticte_tephrocotis"
"Great Blue Heron",7.83336644039298,55.80579861,135,"Ardea_herodias"
"Great-tailed Grackle",5.07810700921127,23.06055601,127,"Quiscalus_mexicanus"
"Green Jay",4.36309862478836,16.04056718,109,"Cyanocorax_yncas"
"Green-winged Teal",5.83448904789929,16.67366157,110,"Anas_crecca"
"Hairy Woodpecker",4.13756368134208,2.419128111,88,"Picoides_villosus"
"Harris's Sparrow",3.56953269648137,-1.187970904,59,"Zonotrichia_querula"
"Hermit Thrush",3.40452517175483,-3.185076966,43,"Catharus_guttatus"
"Herring Gull",6.99484081988822,39.48649277,132,"Larus_argentatus"
"Hooded Oriole",3.1904763503465,16.87806913,114,"Icterus_cucullatus"
"House Finch",3.06339092202781,-3.219184934,42,"Carpodacus_mexicanus"
"House Sparrow",3.27752202030093,-1.686722617,56,"Passer_domesticus"
"Lapland Longspur",3.32647383546622,-20.76946828,7,"Calcarius_lapponicus"
"Lesser Goldfinch",2.17133680638409,-5.184610241,26,"Carduelis_psaltria"
"Lewis's Woodpecker",4.66117237610338,4.22751653,100,"Melanerpes_lewis"
"Lincoln's Sparrow",2.8094026953625,-21.30382118,6,"Melospiza_lincolnii"
"Long-billed Thrasher",4.21360798304892,-15.39220026,18,"Toxostoma_longirostre"
"Mallard",6.73746505457173,36.23973009,129,"Anas_platyrhynchos"
"Mountain Chickadee",2.41502052232383,-5.949304721,21,"Parus_gambeli"
"Mourning Dove",4.77853508473915,1.132692297,79,"Zenaida_macroura"
"Northern Cardinal",3.75279277985759,-0.555714459,64,"Cardinalis_cardinalis"
"Northern Flicker",4.87870262283543,3.565236825,96,"Colaptes_auratus"
"Northern Mockingbird",3.88156379794344,4.263387751,101,"Mimus_polyglottos"
"Northern Shrike",4.14962157771194,21.94642262,125,"Lanius_excubitor"
"Northwestern Crow",5.9681703313049,39.64016634,133,"Corvus_caurinus"
"Nuttall's Woodpecker",3.62140328898902,19.60315188,119,"Picoides_nuttallii"
"Oak Titmouse",2.76443053453832,-2.663838983,49,"Baeolophus_inornatus"
"Orange-crowned Warbler",2.2181159363676,-4.0546366,35,"Vermivora_celata"
"Painted Bunting",2.7434173449395,-19.59027244,11,"Passerina_ciris"
"Palm Warbler",2.33214389523559,0.205721413,71,"Dendroica_palmarum"
"Pileated Woodpecker",5.65805262295003,6.990404491,105,"Dryocopus_pileatus"
"Pine Grosbeak",4.03246915850401,-2.111535792,54,"Pinicola_enucleator"
"Pine Siskin",2.54160199346455,-3.840459699,37,"Carduelis_pinus"
"Pine Warbler",2.46725171454928,-3.566342696,38,"Dendroica_pinus"
"Pinyon Jay",4.65224459337402,-16.5339534,17,"Gymnorhinus_cyanocephalus"
"Purple Finch",3.14845336057165,-3.924994002,36,"Carpodacus_purpureus"
"Pygmy Nuthatch",2.36085400111802,-4.684363077,32,"Sitta_pygmaea"
"Red Crossbill",3.6451887654892,16.77273087,112,"Loxia_curvirostra"
"Red-bellied Woodpecker",4.24132675257075,4.14569494,98,"Melanerpes_carolinus"
"Red-breasted Nuthatch",2.28238238567653,-3.500867485,40,"Sitta_canadensis"
"Red-breasted Sapsucker",4.00350769555032,18.91211466,117,"Sphyrapicus_ruber"
"Red-headed Woodpecker",4.2710950739666,3.221208328,94,"Melanerpes_erythrocephalus"
"Red-naped Sapsucker",3.88135759111726,19.00973267,118,"Sphyrapicus_nuchalis"
"Red-whiskered Bulbul",3.3833727967496,-15.39220026,19,"Pycnonotus_jocosus"
"Red-winged Blackbird",3.92750257627653,2.209562368,86,"Agelaius_phoeniceus"
"Ring-necked Pheasant",7.02136071170533,1.181924764,81,"Phasianus_colchicus"
"Rock Pigeon",5.86986172534873,20.74799328,121,"Columba_livia"
"Rose-breasted Grosbeak",3.73766961828337,-20.12178298,9,"Pheucticus_ludovicianus"
"Rosy-faced Lovebird",3.98583093257287,17.36744506,115,"Agapornis_roseicollis"
"Ruby-crowned Kinglet",1.8229350866965,-23.12030079,2,"Regulus_calendula"
"Ruby-throated Hummingbird",1.12817109090965,-22.3435874,4,"Archilochus_colubris"
"Ruffed Grouse",6.2745925153512,20.69876082,120,"Bonasa_umbellus"
"Rufous Hummingbird",1.25276296849537,14.17860187,107,"Selasphorus_rufus"
"Rufous-backed Robin",4.31775474465374,-18.516544,12,"Turdus_rufopalliatus"
"Sharp-tailed Grouse",6.78262280222459,-18.47366324,13,"Tympanuchus_phasianellus"
"Snow Bunting",3.74242022104197,-17.64258253,15,"Plectrophenax_nivalis"
"Song Sparrow",3.08694315360738,-1.20339976,58,"Melospiza_melodia"
"Spotted Towhee",3.67071548348627,0.477971323,73,"Pipilo_maculatus"
"Steller's Jay",4.85203026391962,1.428298084,82,"Cyanocitta_stelleri"
"Swamp Sparrow",2.77881927199042,-20.47799275,8,"Melospiza_georgiana"
"Townsend's Solitaire",3.50254987592244,-19.95454094,10,"Myadestes_townsendi"
"Townsend's Warbler",2.17928687664955,-5.517435822,24,"Dendroica_townsendi"
"Tufted Titmouse",3.07269331469012,-3.047209392,47,"Baeolophus_bicolor"
"Varied Thrush",4.3502779363593,1.913309019,83,"Zoothera_naevia"
"Western Bluebird",3.27487801498349,36.44413765,130,"Sialia_mexicana"
"Western Tanager",3.3357695763397,0.983656948,77,"Piranga_ludoviciana"
"White-breasted Nuthatch",3.04452243772342,-2.505970757,51,"Sitta_carolinensis"
"White-crowned Sparrow",3.3322045101752,-1.401424868,57,"Zonotrichia_leucophrys"
"White-headed Woodpecker",4.11202074723504,-17.2364599,16,"Picoides_albolarvatus"
"White-throated Sparrow",3.19458313229916,-1.862056878,55,"Zonotrichia_albicollis"
"White-winged Dove",5.03043792139244,-0.789271584,62,"Zenaida_asiatica"
"Wild Turkey",8.66412415743136,66.93438132,136,"Meleagris_gallopavo"
"Wood Duck",6.48858163681369,15.7032301,108,"Aix_sponsa"
"Woodhouse's Scrub-Jay",4.3425058765116,2.52578046,89,"Aphelocoma_woodhouseii"
"Yellow-bellied Sapsucker",3.91800507710569,3.968330032,97,"Sphyrapicus_varius"
"Yellow-rumped Warbler",2.47989410796446,-2.77751888,48,"Dendroica_coronata"
